"path","bytes","status","signer_subject","has_timestamp","package"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-addr2line.exe","6416384","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-ar.exe","27621888","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-as.exe","4436992","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-bitcode-strip.exe","5473792","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-config.exe","316928","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-cov.exe","5530112","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-cxxfilt.exe","406528","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-dis.exe","3000320","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-dlltool.exe","27621888","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-dwarfdump.exe","18785280","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-extract-bundle-entry.exe","5473792","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-install-name-tool.exe","5473792","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-lib.exe","27621888","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-link.exe","5053952","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-mc.exe","29219328","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-nm.exe","28650496","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-objcopy.exe","5473792","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-objdump.exe","25513472","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-offload-binary.exe","4871168","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-otool.exe","25513472","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-PerfectShuffle.exe","25600","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-profdata.exe","6577664","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-ranlib.exe","27621888","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-readelf.exe","7945728","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-readobj.exe","7945728","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-strip.exe","5473792","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-symbolizer.exe","6416384","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-tblgen.exe","3918848","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\llvm-test-mustache-spec.exe","360448","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\modularize.exe","32205312","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\not.exe","121856","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\nvptx-arch.exe","350720","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\offload-arch.exe","350720","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\opt.exe","72351232","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\pp-trace.exe","32107008","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\split-file.exe","350208","NotSigned","","no","_rocm_sdk_core"
"site-packages\_rocm_sdk_core\lib\llvm\bin\UnicodeNameMappingGenerator.exe","69632","NotSigned","","no","_rocm_sdk_core"
